disasterNumber,,FederalFunded,ProjectAmount
4085,HURRICANE SANDY,13982282644,15525212116
4339,HURRICANE MARIA,2456957260,2472316498
1791,HURRICANE IKE,2230447485,2323117262
4086,HURRICANE SANDY,1989282583,2203277843
1763,"SEVERE STORMS, TORNADOES, AND FLOODING",1153943351,1278653437
4340,HURRICANE MARIA,974639564.5,1012838819
4332,HURRICANE HARVEY,794005063.4,848806646.1
1786,HURRICANE GUSTAV ,712112967.8,775776197.3
4277,SEVERE STORMS AND FLOODING,566363038.9,627636971.5
4020,HURRICANE IRENE,548022202.3,730604550.6
3216,#N/A,512845214.1,512845214.1
4145,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",344936069.4,455647697.4
4080,HURRICANE ISAAC,332200407.1,439601054
4031,REMNANTS OF TROPICAL STORM LEE,321927757.2,429224120.1
4283,HURRICANE MATTHEW,312574714.5,398868637.6
4285,HURRICANE MATTHEW,284837158,373767533.5
4344,WILDFIRES,275617647.5,293658135.9
3287,WILDFIRES,246230084.2,327995384.8
1818,SEVERE WINTER STORM AND FLOODING,245207245,324777222.6
4240,VALLEY FIRE AND BUTTE FIRE,235436113.5,313439454.3
4286,HURRICANE MATTHEW,232239375.4,299399236.9
1819,SEVERE WINTER STORM,226950453.8,300515235.8
1981,FLOODING,226518495.1,250961887.7
1792,HURRICANE IKE,224768169.1,235008404.6
1741,SEVERE WINTER STORMS,224698428.3,299233633.7
4166,SEVERE WINTER STORM,221473140.7,269554641.1
1909,"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES ",218783026.3,242780497.1
4022,TROPICAL STORM IRENE,209280011.6,231856874.5
4308,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",202520674.4,268564481.9
1971,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",201458462.3,229013593.3
4337,HURRICANE IRMA,179516398.5,194750674.2
1980,"SEVERE STORMS, TORNADOES, AND FLOODING",161381845.4,231537592.9
4223,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",155730624.7,204892354.8
4030,TROPICAL STORM LEE,147866255.7,195670383.7
1822,SEVERE WINTER STORM,135879596.1,181201322.4
4177,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",134792641,178458372.5
4273,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",120020758.5,159536061.5
1883,SEVERE WINTER STORM,119483237.2,158197692.9
4021,HURRICANE IRENE,118753153.3,157924857
1829,SEVERE STORMS AND FLOODING,114432778.9,128347524.2
4241,SEVERE STORMS AND FLOODING,102454895.1,134168330
1766,"SEVERE STORMS, FLOODING, AND TORNADOES",101571389,132091108
1735,SEVERE WINTER STORMS,98996546.81,130449105.9
1785,TROPICAL STORM FAY,97105438.4,127623329.5
1859,"EARTHQUAKE,TSUNAMI, AND FLOODING",92114638,101732034.5
4284,HURRICANE MATTHEW,91695424.12,116884826.8
4019,HURRICANE IRENE,88713986.18,117371328.3
4175,"SEVERE STORMS, TORNADOES, AND FLOODING",88479552.03,116482653.1
4046,SEVERE STORM,87025183.43,115118203.3
3169,#N/A,86935332.55,87045908.3
1899,SEVERE STORMS AND FLOODING,86159317.61,114879088.5
4199,SEVERE STORMS AND FLOODING,84835484.77,112159955.5
1880,SEVERE WINTER STORM,84281914.59,112214647.9
4214,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",84099538.73,111128413.5
4353,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",83498926.89,110707496.8
1858,SEVERE STORMS AND FLOODING,80806079.4,106488372
4301,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",80749660.15,106975747.3
4338,HURRICANE IRMA,80192070,103196890.2
4263,SEVERE STORMS AND FLOODING,76550758.32,100775119.1
4264,SEVERE WINTER STORM AND SNOWSTORM,75444427.72,99762907.91
1952,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",75381994.11,99901749.92
1994,SEVERE STORMS AND TORNADOES,74497100.69,98889914.3
4051,SEVERE STORM AND SNOWSTORM,71284694.56,94882200.71
4261,SEVERE WINTER STORM AND SNOWSTORM,69605697.91,92722622.31
1780,HURRICANE DOLLY,68454771.15,90136058.77
4222,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",67536766.02,89246115.46
4087,HURRICANE SANDY,63734167.25,84046743.08
4272,SEVERE STORMS AND FLOODING,62995276.59,83120262.34
4013,FLOODING,62808331.04,83705043.27
1734,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",61387681.08,81237696.8
4317,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING",60358603.85,80389527.74
1910,SEVERE WINTER STORMS AND SNOWSTORMS,59386940.85,79292253.52
4109,SEVERE WINTER STORM AND SNOWSTORM,58006060.87,77224277.38
4024,HURRICANE IRENE,57728528.7,76392525.38
4017,HURRICANE IRENE,57090110,75599238.59
4129,SEVERE STORMS AND FLOODING,57025857.67,74875860.87
4110,"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING",56936654.92,75340456.71
1810,WILDFIRES,56548214.09,74919272
1733,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",56118403.73,74230041.37
1776,"SEVERE STORMS, FLOODING AND TORNADOES",55113413.2,73191585.09
1771,SEVERE STORMS AND FLOODING,55104053.35,68457431.81
4280,HURRICANE HERMINE,54409796.24,69526107.95
4117,"SEVERE STORMS, TORNADOES, AND FLOODING",54132686.95,69260447.63
1999,WILDFIRES,52813413.07,70230700.79
