incidentType,FederalFunded,ProjectAmount,%Funded
Chemical,1639099.39,2178019.0499999993,0.7525643037878849
Coastal Storm,9790313.18,12943510.16,0.7563878004480973
Earthquake,195475324.06000003,238594968.91000015,0.8192768060156994
Fire,1087196367.1899989,1372549989.1699994,0.7920996508458261
Flood,3215217756.510025,4080427006.3200116,0.7879611010146982
Freezing,1602599.0400000003,2132018.96,0.7516814203190765
Hurricane,26710073963.880127,29689108056.000023,0.8996590235550088
Mud/Landslide,35517879.85999999,44269581.12,0.8023089209659093
Other,42527444.20999999,53801750.21,0.7904472260475928
Severe Ice Storm,1023551970.7699986,1321992378.870002,0.7742495245281965
Severe Storm(s),8320265679.700152,10639014179.869913,0.782052316035346
Snow,657687937.5199963,874025006.6400005,0.7524818312102246
Terrorist,6195205.8,8245530.470000001,0.751341083819923
Tornado,219899196.35000044,288158757.2299999,0.7631182146391731
Tsunami,49749952.06999999,65804509.040000014,0.7560264911293377
Typhoon,43636163.75999999,49490375.379999995,0.881710098679797
Volcano,11358961.57,15030822.060000002,0.7557112661341691
