title, FederalFunded , ProjectAmount ,
HURRICANE SANDY," $16,135,620,754.98 "," $17,945,759,056.08 ",
HURRICANE MARIA," $3,431,596,824.28 "," $3,485,155,317.67 ",
HURRICANE IKE," $2,456,735,638.77 "," $2,560,101,311.23 ",
SEVERE STORMS AND FLOODING," $2,272,301,341.94 "," $2,847,631,528.86 ",
"SEVERE STORMS, TORNADOES, AND FLOODING"," $1,900,380,779.39 "," $2,277,679,875.53 ",
SEVERE WINTER STORM," $1,252,643,905.19 "," $1,630,784,499.55 ",
HURRICANE MATTHEW," $936,785,499.27 "," $1,208,642,060.92 ",
HURRICANE IRENE," $933,962,876.11 "," $1,242,620,210.37 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING"," $860,452,939.47 "," $1,098,681,553.41 ",
HURRICANE HARVEY," $794,005,063.44 "," $848,806,646.12 ",
HURRICANE GUSTAV ," $712,112,967.76 "," $775,776,197.33 ",
WILDFIRES," $709,514,495.52 "," $870,464,500.18 ",
SEVERE WINTER STORM AND SNOWSTORM," $690,648,757.31 "," $916,837,004.32 ",
"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES"," $660,207,481.33 "," $872,650,096.64 ",
FLOODING," $602,410,940.84 "," $749,823,569.75 ",
HURRICANE ISAAC," $401,141,969.81 "," $531,159,761.63 ",
SEVERE WINTER STORM AND FLOODING," $370,774,066.63 "," $489,814,079.86 ",
SEVERE WINTER STORMS," $365,973,640.71 "," $485,770,825.26 ",
"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES"," $347,103,518.97 "," $458,967,193.58 ",
HURRICANE IRMA," $342,026,711.76 "," $390,417,919.58 ",
REMNANTS OF TROPICAL STORM LEE," $337,452,836.60 "," $449,918,086.60 ",
TROPICAL STORM IRENE," $310,785,499.40 "," $366,681,785.34 ",
VALLEY FIRE AND BUTTE FIRE," $235,436,113.49 "," $313,439,454.33 ",
"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS AND FLOODING"," $230,830,221.12 "," $304,782,509.78 ",
"SEVERE STORMS, FLOODING, AND TORNADOES"," $221,129,450.54 "," $291,038,302.24 ",
"SEVERE WINTER STORM, SNOWSTORM, AND FLOODING"," $220,792,842.24 "," $291,846,413.03 ",
"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES "," $218,783,026.27 "," $242,780,497.08 ",
SEVERE STORM," $155,146,803.32 "," $204,781,030.57 ",
TROPICAL STORM LEE," $153,610,612.58 "," $203,262,874.47 ",
SEVERE WINTER STORMS AND SNOWSTORMS," $151,585,123.30 "," $201,973,307.70 ",
"SEVERE STORMS, STRAIGHT-LINE WINDS, AND FLOODING"," $141,876,902.31 "," $187,345,540.34 ",
SEVERE WINTER STORMS AND FLOODING," $130,710,568.12 "," $171,517,990.29 ",
TROPICAL STORM FAY," $106,545,199.69 "," $140,098,034.81 ",
