disasterNumber,State,Title, FederalFunded ,ProjectAmount
1809,Missouri," SEVERE STORMS, FLOODING, AND A TORNADO"," $8,529,243.13 ",11356158.47
1756,Oklahoma," SEVERE STORMS, TORNADOES, AND FLOODING"," $2,229,174.06 ",2852298.38
3300,District of Columbia,56TH PRESIDENTIAL INAUGURATION," $9,540,583.88 ",9540583.88
4134,Colorado,BLACK FOREST WILDFIRE," $6,617,742.08 ",8818357.72
3366,West Virginia,CHEMICAL SPILL," $1,639,099.39 ",2178019.05
4042,Virginia,EARTHQUAKE," $43,550,470.92 ",57768614.68
4193,California,EARTHQUAKE," $28,887,429.23 ",38222743.75
1911,California,EARTHQUAKE," $26,927,262.68 ",35544211.78
4044,District of Columbia,EARTHQUAKE," $3,995,523.23 ",5327364.23
1859,American Samoa,"EARTHQUAKE,TSUNAMI, AND FLOODING"," $92,114,638.00 ",101732034.5
4136,Texas,EXPLOSION," $28,967,038.46 ",38343969.25
3363,Texas,EXPLOSION," $4,019,821.87 ",5917197.08
3362,Massachusetts,EXPLOSIONS," $6,195,205.80 ",8245530.47
3306,Puerto Rico,EXPLOSIONS AND FIRE ," $2,961,508.24 ",3916579.85
1981,North Dakota,FLOODING," $226,518,495.10 ",250961887.7
4013,Nebraska,FLOODING," $62,808,331.04 ",83705043.27
1984,South Dakota,FLOODING," $52,081,233.58 ",69249992
1998,Iowa,FLOODING," $46,273,268.60 ",61541064.5
3322,Louisiana,FLOODING," $28,922,892.77 ",38380440.58
4122,Alaska,FLOODING," $26,415,411.87 ",35220549.02
4079,New Mexico,FLOODING," $25,902,593.77 ",33984491.58
4012,Missouri,FLOODING," $21,739,243.52 ",28963271.41
4047,New Mexico,FLOODING," $20,335,927.94 ",26811940.14
1907,North Dakota,FLOODING," $19,679,317.40 ",25951012.91
1900,Minnesota,FLOODING," $12,721,044.70 ",16846317.16
4011,Utah,FLOODING," $7,757,048.18 ",10303263.82
1983,Mississippi,FLOODING," $7,596,367.82 ",10058544.98
3376,Louisiana,FLOODING," $7,262,388.04 ",9592930.7
4118,North Dakota,FLOODING," $7,182,175.06 ",9501642.14
4015,Louisiana,FLOODING," $6,797,638.86 ",8976816.04
4327,Wyoming,FLOODING," $5,094,601.43 ",6794977.51
4323,North Dakota,FLOODING," $4,919,609.18 ",6560794.87
3309,North Dakota,FLOODING," $4,872,449.38 ",6476932.76
1923,Wyoming,FLOODING," $3,004,023.04 ",3995482.25
1781,Idaho,FLOODING," $1,655,156.50 ",2186270.28
4342,Idaho,FLOODING," $1,225,206.07 ",1623544.07
4161,Alaska,FLOODING," $1,144,274.52 ",1526689
4312,California,FLOODING," $269,934.77 ",299927.52
4348,New York,FLOODING," $216,057.01 ",288076
3320,Mississippi,FLOODING," $16,250.69 ",21667.58
1915,South Dakota,FLOODING ," $21,498,619.82 ",28559259.83
4121,Michigan,FLOODING ," $4,840,529.02 ",6419335.98
4035,Kansas,FLOODING ," $2,900,592.12 ",3873961.87
4127,Montana,FLOODING ," $2,774,452.64 ",3692993.49
1843,Alaska,FLOODING AND ICE JAMS," $19,558,149.68 ",25955186.3
4168,Washington,FLOODING AND MUDSLIDES," $28,747,995.53 ",36363337.92
1987,Idaho,"FLOODING, LANDSLIDES, AND MUDSLIDES"," $2,926,897.38 ",3868176.27
4333,Idaho,"FLOODING, LANDSLIDES, AND MUDSLIDES"," $1,335,595.46 ",1771390.24
4067,Colorado,HIGH PARK AND WALDO CANYON WILDFIRES," $4,046,793.01 ",5388309.35
1931,Texas,HURRICANE ALEX," $19,844,963.25 ",26226156.74
1780,Texas,HURRICANE DOLLY," $68,454,771.15 ",90136058.77
1939,Virgin Islands of the U.S.,HURRICANE EARL," $2,854,973.61 ",3782533.3
3315,Massachusetts,HURRICANE EARL," $741,694.21 ",988387.45
3314,North Carolina,HURRICANE EARL," $455,369.30 ",601585
3290,Texas,HURRICANE GUSTAV," $27,385,680.76 ",36432889.89
1794,Mississippi,HURRICANE GUSTAV," $24,949,429.23 ",32728999.03
1789,Alabama,HURRICANE GUSTAV," $7,955,261.42 ",10423192.35
1806,Florida,HURRICANE GUSTAV," $1,558,746.17 ",1833112.87
3292,Alabama,HURRICANE GUSTAV," $611,711.02 ",808259.36
3291,Mississippi,HURRICANE GUSTAV," $356,530.38 ",471235.16
1786,Louisiana,HURRICANE GUSTAV ," $712,112,967.76 ",775776197.3
4332,Texas,HURRICANE HARVEY," $794,005,063.44 ",848806646.1
4280,Florida,HURRICANE HERMINE," $54,409,796.24 ",69526107.95
1791,Texas,HURRICANE IKE," $2,230,447,485.29 ",2323117262
1792,Louisiana,HURRICANE IKE," $224,768,169.10 ",235008404.6
3293,Florida,HURRICANE IKE," $957,955.64 ",1266625.61
3294,Texas,HURRICANE IKE," $562,028.74 ",709019.31
4020,New York,HURRICANE IRENE," $548,022,202.31 ",730604550.6
4021,New Jersey,HURRICANE IRENE," $118,753,153.25 ",157924857
4019,North Carolina,HURRICANE IRENE," $88,713,986.18 ",117371328.3
4024,Virginia,HURRICANE IRENE," $57,728,528.70 ",76392525.38
4017,Puerto Rico,HURRICANE IRENE," $57,090,110.00 ",75599238.59
4025,Pennsylvania,HURRICANE IRENE," $25,638,857.47 ",33944343.18
4034,Maryland,HURRICANE IRENE," $19,868,844.47 ",26556750.79
3330,Massachusetts,HURRICANE IRENE," $5,366,361.92 ",7156414.23
3335,Maryland,HURRICANE IRENE," $5,191,261.40 ",6920668.16
4036,District of Columbia,HURRICANE IRENE," $2,466,820.86 ",3289094.43
4037,Delaware,HURRICANE IRENE," $2,036,745.61 ",2724205.06
3328,New York,HURRICANE IRENE," $1,313,887.82 ",1751850.39
3336,Delaware,HURRICANE IRENE," $916,843.53 ",1239112.89
3326,Puerto Rico,HURRICANE IRENE," $781,030.88 ",1041963.45
3329,Virginia,HURRICANE IRENE," $74,241.71 ",103307.91
4337,Florida,HURRICANE IRMA," $179,516,398.48 ",194750674.2
4338,Georgia,HURRICANE IRMA," $80,192,070.00 ",103196890.2
4335,Virgin Islands of the U.S.,HURRICANE IRMA," $46,636,825.35 ",46725542.92
3384,Puerto Rico,HURRICANE IRMA," $17,913,272.06 ",22736854.32
4346,South Carolina,HURRICANE IRMA," $9,533,555.45 ",12633046.43
4336,Puerto Rico,HURRICANE IRMA," $7,649,018.50 ",9601152.61
3389,Alabama,HURRICANE IRMA," $585,571.92 ",773758.84
4341,Florida,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA," $1,344,412.25 ",1578161.84
4080,Louisiana,HURRICANE ISAAC," $332,200,407.11 ",439601054
4081,Mississippi,HURRICANE ISAAC," $40,813,881.86 ",54328246.29
4084,Florida,HURRICANE ISAAC," $21,449,119.72 ",28396052.48
4082,Alabama,HURRICANE ISAAC," $6,678,561.12 ",8834408.89
4339,Puerto Rico,HURRICANE MARIA," $2,456,957,259.80 ",2472316498
4340,Virgin Islands of the U.S.,HURRICANE MARIA," $974,639,564.48 ",1012838819
