index,state,FederalFunded,ProjectAmount,PercentFunded,PercentOfTotalFunding
0,Alabama,372465362.3,452150334.6,82.37644292,0.860809729
1,Alaska,142222883.1,188642822.5,75.3926819,0.328693226
2,American Samoa,93231844.2,103217410.7,90.3256956,0.215469374
3,Arizona,27249912.98,34084867.18,79.94724708,0.062977642
4,Arkansas,507945732.3,658978406.2,77.08078558,1.173920242
5,California,1507317221,1926804461,78.22886294,3.483581186
6,Colorado,405801538.7,532202684.3,76.24943479,0.937853416
7,Connecticut,297964942.1,394463704.1,75.5367196,0.688630802
8,Delaware,24384803.44,32622361.36,74.74873805,0.056356049
9,District of Columbia,54893427.26,69366342.7,79.13553623,0.126864941
10,Federated States of Micronesia,73991.65,98655.53,75.00000253,0.000171003
11,Florida,993674472.5,1251903613,79.3730813,2.296494493
12,Georgia,451719529.7,583908917.6,77.36130004,1.043975106
13,Guam,4918960.97,6512966.18,75.52566425,0.011368277
14,Hawaii,32914428.35,42850735.27,76.81181698,0.07606898
15,Idaho,34756959.33,45997534.13,75.56265784,0.080327278
16,Illinois,264079943.3,347828941.9,75.92236053,0.610318723
17,Indiana,200381321,262601592.8,76.30620929,0.463103977
18,Iowa,1510525632,1751559014,86.23892315,3.490996188
19,Kansas,410487237.2,545238266.3,75.28584521,0.948682598
20,Kentucky,451776035.7,585159471.1,77.2056265,1.044105697
21,Louisiana,1985949193,2276693412,87.22954011,4.589754
22,Maine,52373982.27,70075999.27,74.73883043,0.121042218
23,Maryland,277381787,369151241.6,75.14041827,0.641060794
24,Massachusetts,584019886.4,773427597.9,75.51060862,1.349736247
25,Michigan,58806799.68,76510949.28,76.86063267,0.135909189
26,Minnesota,245025160.9,323228527.2,75.80554941,0.566280958
27,Mississippi,259922382.3,338537923.9,76.77792175,0.600710128
28,Missouri,667584301.6,901168609.1,74.0798442,1.542863095
29,Montana,70661811.79,90192203.1,78.34580968,0.163307468
30,Nebraska,237951981,318163154.3,74.7892953,0.549934037
31,Nevada,31905354.83,41778816.54,76.3673016,0.073736896
32,New Hampshire,93414105.53,124298150.4,75.15325468,0.215890601
33,New Jersey,2498037708,2848483786,87.69710118,5.773248683
34,New Mexico,256773228.6,334521036.8,76.75846968,0.593432076
35,New York,15387757285,17396844220,88.45142884,35.56285367
36,North Carolina,498219511.5,652055862.8,76.40748898,1.151441842
37,North Dakota,440503329.9,511402516.5,86.13632426,1.018053195
38,Northern Mariana Islands,39318029.85,43772038.91,89.82453372,0.09086843
39,Ohio,127308537.5,168419696.1,75.59005297,0.29422448
40,Oklahoma,652597401.3,854338323.5,76.38629608,1.508226668
41,Oregon,140257620.8,184532461.5,76.00701777,0.324151282
42,Pennsylvania,372118484.4,491768415,75.669456,0.860008055
43,Puerto Rico,2605635590,2667723750,97.67261659,6.021919601
44,Rhode Island,70699680.58,88096485.48,80.25255513,0.163394987
45,South Carolina,570842737.9,720897025.5,79.18505941,1.319282361
46,South Dakota,232857875,308664950.8,75.44033568,0.53816098
47,Tennessee,484026475.5,580434115.1,83.39042501,1.118640124
48,Texas,4204049692,4561676899,92.16018112,9.716036019
49,Utah,26118562.81,34588112.54,75.51311966,0.060362963
50,Vermont,268707088.2,310444587.3,86.55557197,0.62101258
51,Virgin Islands of the U.S.,1035916839,1078571177,96.04529224,2.394121397
52,Virginia,266606492,352259985.9,75.68458033,0.616157864
53,Washington,311251048.3,409308985.5,76.04305288,0.719336501
54,West Virginia,287078580.8,376353607.1,76.27895027,0.663471185
55,Wisconsin,125178013.7,163864498.4,76.39117376,0.289300598
56,Wyoming,18536163.25,24638662.97,75.23201755,0.042839177
